1	direct	意味: 直接の；まっすぐな\nアクセント: də-REKT, dī-REKT\n類義語: straight, immediate, explicit	audio/001_direct.mp3
2	restricted	意味: 制限された；限定された\n基本形: restrict\nアクセント: ri-STRIKT\n類義語: limited, confined, constrained	audio/002_restricted.mp3
3	agencies	意味: 機関（複数）；代理店（複数）\n基本形: agency\nアクセント: Ā-jən-sē\n類義語: organizations, offices, departments	audio/003_agencies.mp3
4	the U.S. Postal Service	意味: 米国郵便公社\nアクセント: PŌ-stəl SƏR-vəs\n類義語: mail service, postal system, post office	audio/004_the_u_s_postal_service.mp3
5	the Nuclear Regulatory Commission	意味: 原子力規制委員会\nアクセント: NŪ-klē-ər REG-yə-lə-ˌtôr-ē kə-MISH-ən\n類義語: regulatory body, oversight agency, commission	audio/005_the_nuclear_regulatory_commission.mp3
6	the Tennessee Valley Authority	意味: テネシー川流域開発公社\nアクセント: ˌte-nə-SĒ VAL-ē ə-THÔR-ə-tē\n類義語: public corporation, federal authority, utility agency	audio/006_the_tennessee_valley_authority.mp3
7	hands	意味: 手（複数）；管理・支配（複数形で）\n基本形: hand\nアクセント: HAND\n類義語: control, possession, custody	audio/007_hands.mp3
8	be run privately	意味: 民間で運営される\nアクセント: rən PRĪ-vət-lē\n類義語: be privately operated, be managed privately, be under private control	audio/008_be_run_privately.mp3
9	effort	意味: 努力；取り組み\nアクセント: EF-ərt\n類義語: attempt, endeavor, exertion	audio/009_effort.mp3
10	fostering	意味: 育成すること；促進すること\n基本形: foster\nアクセント: FÔS-tər\n類義語: promoting, encouraging, nurturing	audio/010_fostering.mp3
11	enforcement	意味: 施行；執行\nアクセント: en-FÔRS-mənt\n類義語: implementation, execution, policing	audio/011_enforcement.mp3
12	antitrust laws	意味: 独占禁止法\n基本形: antitrust law\nアクセント: ˌan-tē-TRƏST LÔZ\n類義語: competition laws, anti-monopoly laws, fair-trade laws	audio/012_antitrust_laws.mp3
13	combat collusion	意味: 談合を取り締まる\nアクセント: kəm-BAT kə-LŪ-zhən\n類義語: fight collusion, curb conspiracy, prevent price-fixing	audio/013_combat_collusion.mp3
14	output levels	意味: 生産水準；産出量の水準\n基本形: output level\nアクセント: OUT-poot LEV-əlz\n類義語: production levels, volume levels, supply levels	audio/014_output_levels.mp3
15	feasible	意味: 実行可能な；実現可能な\nアクセント: FĒ-zə-bəl\n類義語: practicable, workable, viable	audio/015_feasible.mp3
16	prevent mergers	意味: 合併を阻止する\nアクセント: pri-VENT MƏR-jərz\n類義語: block mergers, stop consolidation, prohibit takeovers	audio/016_prevent_mergers.mp3
17	signficantly	意味: 著しく；かなり\n基本形: significantly（スペル補正）\nアクセント: sig-NIF-ə-kənt-lē\n類義語: considerably, substantially, markedly	audio/017_signficantly.mp3
18	vigor	意味: 活力；勢い\nアクセント: VIG-ər\n類義語: energy, vitality, force	audio/018_vigor.mp3
19	regulations	意味: 規制（複数）；規則（複数）\n基本形: regulation\nアクセント: ˌre-gyə-LĀ-shən\n類義語: rules, controls, restrictions	audio/019_regulations.mp3
20	enforced	意味: 施行された；強制された\n基本形: enforce\nアクセント: en-FÔRS\n類義語: implemented, applied, imposed	audio/020_enforced.mp3
21	perennial political debate	意味: 長年続く政治的論争\nアクセント: pə-REN-ē-əl pə-LIT-i-kəl di-BĀT\n類義語: ongoing political dispute, persistent policy debate, recurring controversy	audio/021_perennial_political_debate.mp3
22	regulation	意味: 規制；規則\nアクセント: ˌre-gyə-LĀ-shən\n類義語: rule, control, restriction	audio/022_regulation.mp3
23	fiscal	意味: 財政の\nアクセント: FIS-kəl\n類義語: budgetary, financial, revenue-related	audio/023_fiscal.mp3
24	monetaty	意味: 金融の；通貨の\n基本形: monetary（スペル補正）\nアクセント: MON-ə-ˌter-ē\n類義語: financial, currency-based, fiscal	audio/024_monetaty.mp3
25	policy	意味: 政策；方針\nアクセント: PÔ-lə-sē\n類義語: strategy, guideline, plan	audio/025_policy.mp3
26	exerts	意味: 行使する；及ぼす（三人称単数）\n基本形: exert\nアクセント: ig-ZƏRT\n類義語: applies, uses, wields	audio/026_exerts.mp3
27	considerable	意味: かなりの；相当な\nアクセント: kən-SID-ə-rə-bəl\n類義語: substantial, significant, sizable	audio/027_considerable.mp3
28	leverage	意味: 影響力；てこ入れ\nアクセント: LĒ-vər-ij\n類義語: influence, advantage, clout	audio/028_leverage.mp3
29	certain sectors	意味: 特定の部門\n基本形: certain sector\nアクセント: SƏR-tən SEK-tərz\n類義語: specific industries, particular fields, selected segments	audio/029_certain_sectors.mp3
30	notably	意味: とりわけ；特に\nアクセント: NŌ-tə-blē\n類義語: especially, particularly, markedly	audio/030_notably.mp3
31	aircraft	意味: 航空機\nアクセント: AIR-kraft\n類義語: airplane, plane, jet	audio/031_aircraft.mp3
32	aerospace	意味: 航空宇宙（産業）の\nアクセント: AIR-ō-ˌspās\n類義語: aviation, spaceflight, aeronautics	audio/032_aerospace.mp3
33	Proposals	意味: 提案（複数）\n基本形: proposal\nアクセント: prə-PŌ-zəl\n類義語: suggestions, plans, motions	audio/033_proposals.mp3
34	frequent source	意味: 頻繁な原因；よくある発生源\nアクセント: FRĒ-kwənt SÔRS\n類義語: common cause, recurring source, regular origin	audio/034_frequent_source.mp3
35	controversy	意味: 論争；議論\nアクセント: KON-trə-ˌvər-sē\n類義語: dispute, debate, disagreement	audio/035_controversy.mp3
36	Fatming	意味: 農業\n基本形: farming（スペル補正）\nアクセント: FÄR-ming\n類義語: agriculture, cultivation, agribusiness	audio/036_fatming.mp3
37	endeavors	意味: 努力（複数）；試み（複数）\n基本形: endeavor\nアクセント: en-DEV-ər\n類義語: efforts, attempts, undertakings	audio/037_endeavors.mp3
38	provision	意味: 提供；供給\nアクセント: prə-VIZH-ən\n類義語: supply, provision of, furnishing	audio/038_provision.mp3
39	facilities	意味: 設備（複数）；施設（複数）\n基本形: facility\nアクセント: fə-SIL-ə-tē\n類義語: amenities, infrastructure, installations	audio/039_facilities.mp3
40	disadvantage	意味: 不利；欠点\nアクセント: ˌdis-əd-VAN-tij\n類義語: drawback, handicap, downside	audio/040_disadvantage.mp3
41	commercial	意味: 商業の；営利的な\nアクセント: kə-MƏR-shəl\n類義語: business, trade, market-based	audio/041_commercial.mp3
42	rather than	意味: 〜よりむしろ\nアクセント: RATH-ər than\n類義語: instead of, in place of, as opposed to	audio/042_rather_than.mp3
43	so-called	意味: いわゆる\nアクセント: SŌ-kôld\n類義語: purported, alleged, what is called	audio/043_so_called.mp3
44	concern	意味: 懸念；関心；〜に関係する\nアクセント: kən-SƏRN（動詞）, KON-sərn（名詞）\n類義語: worry, issue, relate to	audio/044_concern.mp3
