1	through a specimen	意味: 試料を通して\nアクセント: thrōō ə SPĔS-ə-mən\n類義語: across a sample, via the specimen, through the sample	audio/001_through_a_specimen.mp3
2	hot tungsten filament	意味: 高温のタングステンフィラメント\nアクセント: hŏt TŬNG-stən FĬL-ə-mənt\n類義語: heated tungsten wire, glowing filament, tungsten emitter	audio/002_hot_tungsten_filament.mp3
3	through the length	意味: 全長にわたって\nアクセント: thrōō thə lĕngkth\n類義語: along the length, throughout, end-to-end	audio/003_through_the_length.mp3
4	the microscope cylinder	意味: 顕微鏡の筒部\nアクセント: thə MĪ-krə-skōp SĬL-ĭn-dər\n類義語: microscope tube, optical barrel, instrument column	audio/004_the_microscope_cylinder.mp3
5	houses the lenses	意味: レンズを収めている\n基本形: house the lens\nアクセント: HOU-zĭz thə LĔN-zĭz\n類義語: contains lenses, holds optics, accommodates lenses	audio/005_houses_the_lenses.mp3
6	specimen	意味: 試料；標本\nアクセント: SPĔS-ə-mən\n類義語: sample, sample material, test piece	audio/006_specimen.mp3
7	chamber	意味: 室；区画\nアクセント: CHĀM-bər\n類義語: compartment, cavity, enclosure	audio/007_chamber.mp3
8	image-recording system	意味: 画像記録システム\nアクセント: ĬM-ĭj rĭ-KÔR-dĭng SĬS-təm\n類義語: imaging system, capture system, recording setup	audio/008_image_recording_system.mp3
9	lenses	意味: レンズ\n基本形: lens\nアクセント: LĔN-zĭz\n類義語: optics, glass elements, optical lenses	audio/009_lenses.mp3
10	electrostatic	意味: 静電の\nアクセント: ĭ-lĕk-trō-STĂT-ĭk\n類義語: static-electric, charge-based, electric-field based	audio/010_electrostatic.mp3
11	electromagnetic	意味: 電磁の\nアクセント: ĭ-lĕk-trō-măg-NĔT-ĭk\n類義語: EM, magnetic-electric, field-based	audio/011_electromagnetic.mp3
12	fields to	意味: 〜するための場\nアクセント: fēldz tə\n類義語: force fields to, zones to, fields used to	audio/012_fields_to.mp3
13	concentrate	意味: 集中させる；集める\nアクセント: KŎN-sən-trāt\n類義語: focus, gather, intensify	audio/013_concentrate.mp3
14	vacuum	意味: 真空\nアクセント: VĂK-yōōm\n類義語: near-empty space, low-pressure space, evacuated space	audio/014_vacuum.mp3
15	column	意味: 柱状部；カラム\nアクセント: KŎL-əm\n類義語: tube, pillar section, vertical channel	audio/015_column.mp3
16	specimen	意味: 試料；標本\nアクセント: SPĔS-ə-mən\n類義語: sample, sample material, test piece	audio/016_specimen.mp3
17	chamber	意味: 室；区画\nアクセント: CHĀM-bər\n類義語: compartment, cavity, enclosure	audio/017_chamber.mp3
18	evacuated	意味: 排気された；真空化された\n基本形: evacuate\nアクセント: ĭ-VĂK-yōō-ā-tĭd\n類義語: pumped out, emptied, vacuumized	audio/018_evacuated.mp3
19	specimens	意味: 試料；標本（複数）\n基本形: specimen\nアクセント: SPĔS-ə-mənz\n類義語: samples, test pieces, specimens	audio/019_specimens.mp3
20	survive in a vacuum	意味: 真空中で生存する\nアクセント: sər-VĪV ĭn ə VĂK-yōōm\n類義語: remain viable in vacuum, endure vacuum conditions, persist in vacuum	audio/020_survive_in_a_vacuum.mp3
21	magnification	意味: 倍率；拡大率\nアクセント: măg-nə-fĭ-KĀ-shən\n類義語: enlargement, zoom level, amplification	audio/021_magnification.mp3
22	the current passing	意味: 流れる電流\nアクセント: thə KÛR-ənt PĂS-ĭng\n類義語: flowing current, electric current flow, passing current	audio/022_the_current_passing.mp3
23	the objective lens coil	意味: 対物レンズコイル\nアクセント: thē əb-JĔK-tĭv lĕnz koil\n類義語: objective coil, lens coil, focusing coil	audio/023_the_objective_lens_coil.mp3
24	the optical microscope	意味: 光学顕微鏡\nアクセント: thē ŎP-tĭ-kəl MĪ-krə-skōp\n類義語: light microscope, optical scope, conventional microscope	audio/024_the_optical_microscope.mp3
25	absorption of light by the specimen	意味: 試料による光の吸収\nアクセント: əb-ZÔRP-shən əv līt bī thə SPĔS-ə-mən\n類義語: light absorption by sample, specimen absorption, optical absorption	audio/025_absorption_of_light_by_the_specimen.mp3
26	scattering	意味: 散乱\nアクセント: SKĂT-ər-ĭng\n類義語: diffusion, dispersion, spread	audio/026_scattering.mp3
27	atoms	意味: 原子\n基本形: atom\nアクセント: ĂT-əmz\n類義語: atomic particles, elements, atoms	audio/027_atoms.mp3
28	specimen	意味: 試料；標本\nアクセント: SPĔS-ə-mən\n類義語: sample, sample material, test piece	audio/028_specimen.mp3
29	scatters	意味: 散乱させる\n基本形: scatter\nアクセント: SKĂT-ərz\n類義語: disperses, diffuses, spreads	audio/029_scatters.mp3
30	appears	意味: 現れる；見える\n基本形: appear\nアクセント: ə-PĬRZ\n類義語: seems, looks, becomes visible	audio/030_appears.mp3
31	passes	意味: 通過する\n基本形: pass\nアクセント: PĂS-ĭz\n類義語: goes through, moves past, travels through	audio/031_passes.mp3
32	tiny	意味: 極小の\nアクセント: TĪ-nē\n類義語: minute, very small, microscopic	audio/032_tiny.mp3
33	the electron stream	意味: 電子線流\nアクセント: thē ĭ-LĔK-trŏn strēm\n類義語: electron beam flow, stream of electrons, electron current	audio/033_the_electron_stream.mp3
34	fluorescent screen	意味: 蛍光スクリーン\nアクセント: flô-RĔS-ənt skrēn\n類義語: phosphor screen, luminous screen, display screen	audio/034_fluorescent_screen.mp3
35	tremendous	意味: 莫大な；非常に大きい\nアクセント: trĭ-MĔN-dəs\n類義語: enormous, huge, vast	audio/035_tremendous.mp3
36	magnify specimens over 50,000 times	意味: 試料を5万倍以上に拡大する\nアクセント: MĂG-nə-fī SPĔS-ə-mənz ō-vər fĭf-tē-thou-zənd tīmz\n類義語: enlarge beyond 50,000x, magnify over fifty thousandfold, achieve 50,000x magnification	audio/036_magnify_specimens_over_50_000_times.mp3
